No.,C,Si,Mn,P,S,Cr,Ni,Mo,N,Nb,Co,Cu,Al,Ti,V,B,Th,I,U,Ve,Strain,TCL
323,0.049,0.52,1.48,0.029,0.002,14.8,16.65,2.09,0.006,0,0,0,0.029,0.51,0,0.0024,4,80,10,1.33,3.2,8.4
324,0.049,0.51,1.5,0.027,0.0014,14.92,16.8,2.16,0.006,0,0,0,0.029,0.27,0,0.002,4,80,10,1.33,3.2,5.5
325,0.15,0.53,1.5,0.027,0.0016,14.84,16.77,2.15,0.006,0,0,0,0.029,0.27,0,0.0022,4,80,10,1.33,3.2,7.1
326,0.28,0.52,1.49,0.026,0.0018,14.84,16.68,2.15,0.006,0,0,0,0.027,0.26,0,0.0022,4,80,10,1.33,3.2,11.1
327,0.051,0.12,1.5,0.028,0.0017,14.96,16.76,2.16,0.006,0,0,0,0.033,0.27,0,0.0019,4,80,10,1.33,3.2,4.4
328,0.052,0.71,1.49,0.027,0.0018,14.89,16.63,2.14,0.006,0,0,0,0.032,0.27,0,0.0019,4,80,10,1.33,3.2,5.6
329,0.049,1.04,1.49,0.028,0.0016,14.89,16.59,2.13,0.006,0,0,0,0.032,0.27,0,0.002,4,80,10,1.33,3.2,5.2
330,0.053,0.51,1.5,0.026,0.0014,15.02,16.65,2.14,0.006,0,0,0,0.034,0.006,0,0.002,4,80,10,1.33,3.2,4.7
331,0.051,0.5,1.5,0.026,0.0014,14.91,16.59,2.11,0.006,0,0,0,0.035,0.51,0,0.002,4,80,10,1.33,3.2,4.1
332,0.05,0.51,1.49,0.026,0.0014,14.86,16.6,2.11,0.006,0,0,0,0.037,0.8,0,0.0021,4,80,10,1.33,3.2,6.6
333,0.049,0.51,1.51,0.027,0.0015,15.1,16.68,2.11,0.006,0,0,0,0.014,0.26,0,0.002,4,80,10,1.33,3.2,5.1
334,0.059,0.51,1.51,0.027,0.0019,14.96,16.63,2.1,0.006,0,0,0,0.066,0.26,0,0.002,4,80,10,1.33,3.2,4.9
335,0.052,0.5,1.51,0.027,0.0017,14.95,16.7,2.12,0.006,0,0,0,0.29,0.27,0,0.002,4,80,10,1.33,3.2,8.1
336,0.051,0.5,1.51,0.026,0.0014,15.05,16.61,2.08,0.006,0,0,0,0.035,0.28,0,0.0012,4,80,10,1.33,3.2,4.1
337,0.051,0.51,1.51,0.028,0.0017,15.09,16.64,2.12,0.006,0,0,0,0.035,0.28,0,0.0063,4,80,10,1.33,3.2,8.3
338,0.049,0.5,1.5,0.026,0.0015,15.1,16.68,2.09,0.006,0,0,0,0.039,0.28,0,0.0114,4,80,10,1.33,3.2,9.7
339,0.061,0.22,2.57,0.003,0.019,15.04,15.18,2.57,0.0282,0.13,0,2.13,0.06,0.31,0.49,0.0014,3.175,100,12,4,4,6.43
340,0.119,0.25,1.66,0.005,0.005,16.33,16.1,1.11,0.0288,0.11,0,0.01,0.025,0.35,0.83,0.0047,3.175,100,12,4,4,9.4
341,0.106,0.2,1.59,0.004,0.004,16.37,16.07,1.11,0.0187,0.1,0,0.01,0.032,0.36,0.84,0.0043,3.175,100,12,4,4,8.32
342,0.061,0.22,2.57,0.003,0.019,15.04,15.18,2.57,0.0282,0.13,0,2.13,0.06,0.31,0.49,0.0014,3.175,100,12,4,2,5.89
343,0.119,0.25,1.66,0.005,0.005,16.33,16.1,1.11,0.0288,0.11,0,0.01,0.025,0.35,0.83,0.0047,3.175,100,12,4,2,10.41
344,0.106,0.2,1.59,0.004,0.004,16.37,16.07,1.11,0.0187,0.1,0,0.01,0.032,0.36,0.84,0.0043,3.175,100,12,4,2,8.98
345,0.061,0.22,2.57,0.003,0.019,15.04,15.18,2.57,0.0282,0.13,0,2.13,0.06,0.31,0.49,0.0014,3.175,100,12,4,1,3.36
346,0.119,0.25,1.66,0.005,0.005,16.33,16.1,1.11,0.0288,0.11,0,0.01,0.025,0.35,0.83,0.0047,3.175,100,12,4,1,5.6
347,0.106,0.2,1.59,0.004,0.004,16.37,16.07,1.11,0.0187,0.1,0,0.01,0.032,0.36,0.84,0.0043,3.175,100,12,4,1,7.45
348,0.061,0.22,2.57,0.003,0.019,15.04,15.18,2.57,0.0282,0.13,0,2.13,0.06,0.31,0.49,0.0014,3.175,100,12,4,0.5,2.49
349,0.119,0.25,1.66,0.005,0.005,16.33,16.1,1.11,0.0288,0.11,0,0.01,0.025,0.35,0.83,0.0047,3.175,100,12,4,0.5,8.3
350,0.106,0.2,1.59,0.004,0.004,16.37,16.07,1.11,0.0187,0.1,0,0.01,0.032,0.36,0.84,0.0043,3.175,100,12,4,0.5,2.28
351,0.119,0.25,1.66,0.005,0.005,16.33,16.1,1.11,0.0288,0.11,0,0.01,0.025,0.35,0.83,0.0047,3.175,100,12,4,0.25,4.08
352,0.106,0.2,1.59,0.004,0.004,16.37,16.07,1.11,0.0187,0.1,0,0.01,0.032,0.36,0.84,0.0043,3.175,100,12,4,0.25,1.65
353,0.116,0.14,1.85,0.006,0.006,20.27,29.15,1.05,0.039,0.13,0,0.01,0.079,0.34,0.84,0.0104,3.175,100,12,4,4,7.97
354,0.082,0.17,2.08,0.008,0.012,20.87,30.56,1.9,0.0094,0.19,0,0.01,0.09,0.29,0.49,0.005,3.175,100,12,4,4,7.29
355,0.116,0.14,1.85,0.006,0.006,20.27,29.15,1.05,0.039,0.13,0,0.01,0.079,0.34,0.84,0.0104,3.175,100,12,4,2,8.39
356,0.082,0.17,2.08,0.008,0.012,20.87,30.56,1.9,0.0094,0.19,0,0.01,0.09,0.29,0.49,0.005,3.175,100,12,4,2,3.69
357,0.116,0.14,1.85,0.006,0.006,20.27,29.15,1.05,0.039,0.13,0,0.01,0.079,0.34,0.84,0.0104,3.175,100,12,4,1,6.01
358,0.082,0.17,2.08,0.008,0.012,20.87,30.56,1.9,0.0094,0.19,0,0.01,0.09,0.29,0.49,0.005,3.175,100,12,4,1,3.68
359,0.116,0.14,1.85,0.006,0.006,20.27,29.15,1.05,0.039,0.13,0,0.01,0.079,0.34,0.84,0.0104,3.175,100,12,4,0.5,7.68
